Actual,Predicted
60.63685185,62.068478
92.96993827,92.41475
167.965,169.19624
16.13808025,17.546726
134.2481944,134.60504
109.2428889,100.90957
85.87947531,85.84502
112.1477778,107.23791
116.5290374,128.98045
99.63709877,94.247444
63.86447531,60.172516
41.90050343,37.24045
37.74183066,35.02691
27.10911111,23.728157
52.02609626,52.08749
136.1054722,130.94217
81.21950617,68.488365
138.5298889,118.59873
46.15885027,46.517647
130.486,140.34476
47.39647059,45.85192
21.54075214,20.613903
117.4916845,116.82097
73.49441358,75.35643
42.21676471,44.363277
99.69003086,86.42173
145.53475,143.03761
49.27582888,47.327324
58.25583333,56.34761
19.26944872,25.48774
22.00953318,23.37915
35.4271167,36.193756
105.0686631,119.640564
3.208903743,3.6958876
43.13352941,46.60922
51.53604938,55.878708
95.62325,100.28721
56.08645062,59.679153
129.7199722,113.62334
103.6712222,99.24249
92.14688889,99.00948
14.87553309,28.75803
29.69913043,31.310352
132.57725,115.31693
22.75452206,28.914146
39.23729947,44.528313
73.49759259,73.92754
138.2961111,127.82478
123.7711944,128.1223
47.21312834,45.38709
39.82116705,42.84859
22.56650427,26.385086
56.19228395,62.83711
26.4820595,32.14518
34.06955983,32.189976
47.11123932,43.853912
38.44948529,30.731552
59.89608025,61.374287
28.09059497,27.53534
23.38267735,29.892265
128.8145455,120.52713
68.25614198,65.680275
83.84406417,86.606316
37.81915441,29.590637
109.0047778,105.12364
83.1808642,85.963646
125.3903611,127.43159
95.61564815,90.29174
46.01993135,46.305412
86.62024691,87.71167
17.14468376,26.09285
66.13966049,60.501156
136.1530833,137.77861
21.52542778,20.948639
17.522875,23.471684
16.19220085,24.302052
50.0092246,50.622795
31.20079779,29.828995
53.59959877,67.63291
50.05508021,50.039436
52.96466049,60.031796
131.3908333,142.62537
85.66780864,88.84847
122.8551604,114.835464
122.43775,139.26349
101.52825,101.20662
87.46688272,94.56106
32.36695652,34.60816
9.454786765,9.398147
129.6855348,119.65703
90.26184492,93.52785
59.36697531,59.127644
118.1334759,118.72283
32.95544622,31.53096
60.63685185,61.857315
138.4346389,124.04039
42.99901602,42.157303
107.5761389,110.19078
27.22978676,29.108433
122.1675134,119.39146
82.51465241,82.395676
83.91105556,85.281944
24.54473504,34.224537
97.57569444,106.07064
19.22473529,26.143002
117.8125668,119.32136
21.1011453,21.382511
96.09188272,88.54316
66.4042284,62.53663
95.67086111,97.72388
35.78020595,34.21596
98.79049383,87.356125
23.38484191,24.06253
51.79692513,51.453674
128.539492,120.866455
122.0758289,114.65164
60.74268519,61.78614
50.83433155,44.36959
33.42624714,29.618156
35.60818376,33.531784
23.77501144,32.594334
43.13352941,45.050735
18.36037346,18.917934
35.58405034,35.076645
59.68444444,56.073803
148.2968611,149.55017
93.9565,111.36183
131.2479444,129.4921
110.0048056,102.77652
59.73734568,60.4181
123.6244722,105.96194
60.74268519,60.482918
29.54221968,30.25447
86.62024691,88.408905
27.10911111,28.563473
21.39421795,21.522697
47.78540046,46.392063
57.35632716,57.407623
50.42176471,47.355286
46.25053476,48.05974
32.45766667,25.809105
99.58419753,90.65018
115.337139,118.860855
64.76398148,65.96626
8.950533088,11.479323
82.28132716,83.68818
63.17660494,60.75883
34.87784897,42.52506
68.15030864,59.619057
117.3541711,122.14316
87.57527778,100.73875
51.53604938,56.42283
100.3853611,108.53148
99.38530556,91.277115
66.8804321,61.47989
107.2232086,120.84873
62.79802139,61.86433
170.3408056,172.04514
70.05515432,66.38776
100.1662654,92.40001
20.00866819,21.11774
92.86410494,92.68281
22.78321123,22.797834
30.99382151,29.172272
117.2624866,118.83058
127.67625,128.39755
28.20812821,25.79522
128.5853209,124.86537
31.20079779,30.250595
36.26759402,24.9043
104.86175,110.7327
64.23484568,65.77599
104.3993827,93.77948
94.06671123,111.95114
58.78493827,57.352283
31.26383088,33.61967
22.43936397,21.516808
123.8178342,124.13917
135.7721111,129.88103
24.20656751,27.40641
65.82222222,60.244705
119.5087166,125.2766
107.0046944,109.53251
101.1949167,110.82343
1.58735216,1.9804373
94.50444444,93.99172
179.0554722,172.68475
32.45766667,26.166485
122.81875,127.18489
31.32686029,27.953136
26.22132086,25.269913
93.55200617,93.62417
70.64171123,70.189354
39.26889706,35.28558
121.2048663,118.86666
28.36436029,26.594437
61.85382716,62.35
119.1878342,118.71114
46.14101852,46.45486
22.79418764,23.491459
130.6023529,118.81258
128.722861,121.09749
59.52570988,61.64608
112.7241711,119.101685
30.03982479,30.605865
111.4864706,121.79394
119.0502941,119.45276
41.71256684,44.956413
61.58925926,57.799305
64.44651235,59.50852
141.5344444,141.42896
94.67080556,103.08587
127.5768182,118.72987
35.4271167,34.10443
43.27104278,48.65986
98.19477778,100.31387
61.74847594,59.189037
26.7427735,25.566593
51.38438503,49.36075
49.48007353,49.52622
22.12689744,23.82845
39.56464957,38.239323
23.38484191,28.59024
54.23453704,53.23345
34.28936325,32.976933
20.67562243,21.02137
21.98035897,21.693905
26.93207716,26.412827
44.12235294,34.35856
125.7713611,134.99174
124.6760278,133.06203
13.92089316,15.039058
117.8584225,119.272064
69.47311728,59.547554
19.47686397,19.695278
133.2004722,129.9577
36.43244853,36.298332
69.26117647,62.344593
118.5918984,119.00485
20.6114375,25.00859
134.9148889,127.19314
162.0598056,158.7724
21.95639305,22.792423
120.6547594,119.37947
44.86916667,45.207962
24.70851103,28.302471
60.18526738,57.696335
100.0075309,97.24598
102.0520833,95.601395
21.83382479,17.724968
156.1545833,155.63582
99.19483333,94.36812
128.5294444,125.14476
55.82188272,58.662678
18.75657692,20.87138
55.78481283,49.29713
133.9029412,118.02545
148.2492222,159.40881
49.50502674,51.76432
20.29520085,24.600822
101.3377778,101.0063
97.41472222,95.94705
96.19469444,101.65056
42.95018717,44.83338
47.67348765,45.125103
126.4856944,126.96019
29.45368376,25.632027
133.7719444,133.00731
111.6698128,118.87926
39.12504274,36.581417
135.3435,138.4625
61.00722222,60.83902
124.6887968,118.67308
