Strain,Pore Density,Acetone,Methanol,Ethanol,Compressive strength
9.98248125,20,1,0,0,34.87784897
10.0024125,20,1,0,0,34.44629291
10.0217125,20,1,0,0,34.44629291
10.04164375,20,1,0,0,35.85867277
10.0634375,20,1,0,0,18.67475744
10.08648125,20,1,0,0,19.65557208
10.1045375,20,1,0,0,20.16559725
10.12384375,20,1,0,0,20.47945995
10.1419,20,1,0,0,21.85260183
10.163075,20,1,0,0,23.18652174
10.1879875,20,1,0,0,23.93194508
10.21289375,20,1,0,0,25.54048055
10.2322,20,1,0,0,26.79592677
10.2496375,20,1,0,0,27.81597254
10.29385,20,1,0,0,30.99382151
10.3175125,20,1,0,0,32.56313501
10.33495,20,1,0,0,33.93627002
10.3530125,20,1,0,0,35.34864989
10.37169375,20,1,0,0,34.68169336
10.39286875,20,1,0,0,35.58405034
10.41715625,20,1,0,0,37.11411899
10.4414375,20,1,0,0,36.52562929
10.46074375,20,1,0,0,22.95112128
10.47880625,20,1,0,0,24.59887872
10.49935625,20,1,0,0,26.20743707
10.52301875,20,1,0,0,27.69828375
10.5454375,20,1,0,0,28.52215103
10.56536875,20,1,0,0,28.79679634
10.58404375,20,1,0,0,28.67908467
10.6008625,20,1,0,0,29.42450801
10.62265625,20,1,0,0,30.01299771
10.6457,20,1,0,0,29.42450801
10.6699875,20,1,0,0,31.38613272
10.6868,20,1,0,0,32.79851259
10.70548125,20,1,0,0,33.81858124
10.75280625,20,1,0,0,30.44455378
10.776475,20,1,0,0,24.28503432
10.795775,20,1,0,0,25.03045767
10.8132125,20,1,0,0,26.16819222
10.83003125,20,1,0,0,27.42363844
10.85244375,20,1,0,0,27.73750572
10.8767375,20,1,0,0,29.07141876
10.9004,20,1,0,0,30.13070938
10.9178375,20,1,0,0,26.40359268
10.93651875,20,1,0,0,17.53700686
10.9576875,20,1,0,0,18.94938444
10.98010625,20,1,0,0,20.3225286
11.002525,20,1,0,0,21.85260183
11.0237,20,1,0,0,22.63725629
11.04300625,20,1,0,0,23.30421053
11.058575,20,1,0,0,20.59715561
11.08036875,20,1,0,0,19.49864073
11.105275,20,1,0,0,20.44022654
11.127075,20,1,0,0,21.85260183
11.147625,20,1,0,0,22.71572082
11.18685625,20,1,0,0,23.69654462
11.21051875,20,1,0,0,24.32425629
11.23231875,20,1,0,0,23.77501144
11.25224375,20,1,0,0,20.16559725
11.27030625,20,1,0,0,14.51609153
11.2883625,20,1,0,0,15.65383982
11.31078125,20,1,0,0,17.0662151
11.33506875,20,1,0,0,18.43936156
11.35375,20,1,0,0,19.57710755
11.373675,20,1,0,0,20.28329519
11.39360625,20,1,0,0,20.47945995
11.41664375,20,1,0,0,21.57797483
11.44155625,20,1,0,0,22.83342105
11.46335,20,1,0,0,22.04876659
11.4807875,20,1,0,0,21.61720595
11.49698125,20,1,0,0,22.95112128
11.51628125,20,1,0,0,23.93194508
11.54119375,20,1,0,0,20.04789931
11.56485625,20,1,0,0,20.98948284
11.58540625,20,1,0,0,20.91101831
11.62215,20,1,0,0,21.10718307
11.6458125,20,1,0,0,17.10544851
11.67134375,20,1,0,0,18.71398856
11.69065,20,1,0,0,20.00866819
11.70995625,20,1,0,0,21.06794966
11.726775,20,1,0,0,22.04876659
11.7467,20,1,0,0,23.18652174
11.77098125,20,1,0,0,24.0104119
11.79465,20,1,0,0,23.69654462
11.8152,20,1,0,0,25.06967963
11.8326375,20,1,0,0,22.91187643
11.85505,20,1,0,0,22.08799771
11.87685,20,1,0,0,20.59715561
11.898025,20,1,0,0,19.7340389
11.91795,20,1,0,0,20.16559725
11.93663125,20,1,0,0,19.10631579
11.95406875,20,1,0,0,19.49864073
11.97524375,20,1,0,0,20.79332037
12.00015,20,1,0,0,22.08799771
12.0244375,20,1,0,0,15.73230435
12.063675,20,1,0,0,17.30161098
12.08235,20,1,0,0,17.81163616
12.104775,20,1,0,0,18.91015332
12.12905625,20,1,0,0,20.00866819
12.1483625,20,1,0,0,21.1856476
12.1682875,20,1,0,0,17.45854233
12.18385625,20,1,0,0,16.51695881
12.20503125,20,1,0,0,17.65470481
12.22931875,20,1,0,0,17.49777574
12.2523625,20,1,0,0,18.51782609
12.2722875,20,1,0,0,17.89010297
12.2928375,20,1,0,0,18.00780092
12.3133875,20,1,0,0,17.53700686
12.3351875,20,1,0,0,18.98861785
12.35698125,20,1,0,0,20.51869108
12.37504375,20,1,0,0,21.73490618
12.39371875,20,1,0,0,22.00953318
12.41240625,20,1,0,0,23.14727689
12.43606875,20,1,0,0,23.77501144
12.46098125,20,1,0,0,23.34345538
12.50145625,20,1,0,0,24.75581236
12.5207625,20,1,0,0,25.85434783
12.5413125,20,1,0,0,26.87439359
12.564975,20,1,0,0,28.28677346
12.58615,20,1,0,0,28.75755149
12.6035875,20,1,0,0,30.09146453
12.62226875,20,1,0,0,31.46459954
12.64095,20,1,0,0,32.6808238
12.6646125,20,1,0,0,32.95544622
12.69014375,20,1,0,0,31.85693364
12.71194375,20,1,0,0,32.64157895
12.73,20,1,0,0,34.09320366
12.74805625,20,1,0,0,34.95631579
12.77048125,20,1,0,0,36.7217849
12.7953875,20,1,0,0,38.52649886
12.8159375,20,1,0,0,39.35038902
12.83275,20,1,0,0,33.62240275
12.85143125,20,1,0,0,35.30940503
12.8713625,20,1,0,0,26.99208238
12.895025,20,1,0,0,16.87005263
12.9404875,20,1,0,0,18.59629062
12.957925,20,1,0,0,19.65557208
12.977225,20,1,0,0,20.91101831
13.00089375,20,1,0,0,20.08713272
13.02393125,20,1,0,0,19.81250343
13.04510625,20,1,0,0,21.53874142
13.0637875,20,1,0,0,22.91187643
13.08185,20,1,0,0,23.85347826
13.10115,20,1,0,0,25.14814645
13.12481875,20,1,0,0,26.4820595
13.14785625,20,1,0,0,28.051373
13.1665375,20,1,0,0,29.54221968
13.1846,20,1,0,0,29.46375286
13.20515,20,1,0,0,29.93453089
13.23005625,20,1,0,0,30.48379863
13.25559375,20,1,0,0,30.24839817
13.27551875,20,1,0,0,31.07228833
13.29233125,20,1,0,0,32.01386728
13.30915,20,1,0,0,33.42624714
13.33031875,20,1,0,0,35.27018307
13.37951875,20,1,0,0,35.78020595
13.39819375,20,1,0,0,37.15334096
13.4150125,20,1,0,0,38.64418764
13.4355625,20,1,0,0,40.25272311
13.45798125,20,1,0,0,26.01125858
13.48226875,20,1,0,0,22.20569794
13.50281875,20,1,0,0,23.93194508
13.522125,20,1,0,0,24.99121281
13.54080625,20,1,0,0,26.4820595
13.56073125,20,1,0,0,27.77672769
13.58439375,20,1,0,0,29.77759725
13.60681875,20,1,0,0,31.1115103
13.62549375,20,1,0,0,32.72004577
13.645425,20,1,0,0,33.97549199
13.66535625,20,1,0,0,34.60322654
13.68901875,20,1,0,0,36.40791762
13.71268125,20,1,0,0,35.54480549
13.73260625,20,1,0,0,36.95718535
13.75066875,20,1,0,0,38.17338673
13.7681,20,1,0,0,37.82029748
13.8129375,20,1,0,0,34.32860412
13.8353625,20,1,0,0,34.13242563
13.85341875,20,1,0,0,35.62327231
13.8721,20,1,0,0,33.6616476
13.89451875,20,1,0,0,31.46459954
13.92005,20,1,0,0,33.77933638
13.94371875,20,1,0,0,35.54480549
13.96115625,20,1,0,0,37.03565217
13.97859375,20,1,0,0,38.33032037
13.996025,20,1,0,0,39.8604119
14.01844375,20,1,0,0,41.78281465
14.043975,20,1,0,0,43.70519451
14.06515,20,1,0,0,34.44629291
14.0819625,20,1,0,0,22.36262929
14.10126875,20,1,0,0,23.93194508
14.12493125,20,1,0,0,25.54048055
14.14921875,20,1,0,0,27.38441648
14.1710125,20,1,0,0,28.6398627
14.18845,20,1,0,0,30.13070938
14.2065125,20,1,0,0,31.34691076
14.24885625,20,1,0,0,33.6616476
14.2750125,20,1,0,0,34.36782609
14.29431875,20,1,0,0,34.76016018
14.313,20,1,0,0,36.44716247
14.33168125,20,1,0,0,38.13416476
14.3541,20,1,0,0,36.3294508
14.37651875,20,1,0,0,28.95370709
14.39769375,20,1,0,0,30.64073227
14.417,20,1,0,0,32.24926773
14.43505625,20,1,0,0,33.15162471
14.4543625,20,1,0,0,34.87784897
14.47678125,20,1,0,0,36.83949657
14.50293125,20,1,0,0,38.64418764
14.52473125,20,1,0,0,40.17425629
14.5440375,20,1,0,0,41.78281465
14.56271875,20,1,0,0,42.17512586
14.58389375,20,1,0,0,40.56659039
14.60755625,20,1,0,0,33.81858124
14.62748125,20,1,0,0,35.62327231
14.66484375,20,1,0,0,37.42798627
14.68415,20,1,0,0,37.54567506
14.7078125,20,1,0,0,39.62501144
14.73085625,20,1,0,0,41.50816934
14.75140625,20,1,0,0,42.80286041
14.7713375,20,1,0,0,41.90050343
14.79250625,20,1,0,0,33.74011442
14.81368125,20,1,0,0,35.78020595
14.83671875,20,1,0,0,36.25100686
14.85478125,20,1,0,0,36.83949657
14.87159375,20,1,0,0,33.2693135
14.891525,20,1,0,0,27.26670481
14.912075,20,1,0,0,23.69654462
14.939475,20,1,0,0,24.99121281
14.9637625,20,1,0,0,26.4820595
14.98181875,20,1,0,0,27.97290618
15.0005,20,1,0,0,28.87526316
15.02043125,20,1,0,0,28.79679634
15.04284375,20,1,0,0,29.2283524
15.0658875,20,1,0,0,31.1115103
15.10138125,20,1,0,0,32.44542334
15.1213125,20,1,0,0,33.42624714
15.14310625,20,1,0,0,35.11324943
15.16739375,20,1,0,0,35.30940503
15.1910625,20,1,0,0,34.64244851
15.20974375,20,1,0,0,35.81942792
15.2278,20,1,0,0,37.3102746
15.248975,20,1,0,0,26.36437071
15.27388125,20,1,0,0,14.90841876
15.2963,20,1,0,0,16.36002746
15.3131125,20,1,0,0,17.26237986
15.33055,20,1,0,0,18.43936156
15.35048125,20,1,0,0,19.69480549
